d,cc,z,tall,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo
1.4196688542857142e-05,0.1035506121428571,131405.4557142857,13399.627368571428,1.915988e-07,1.9687483142857144e-06,57.24057614285714,4.863102835714285e-06,7.050865244285714e-05,8.411796428571428e-07,214.72760714285712,41.66062728571429,7.622914861428571,-0.0700222034285714,-3.129404557142857e-05
1.1876901242857142e-05,0.2171832819999999,131400.97357142856,13399.170315714286,1.870132342857143e-07,1.7093255662857142e-06,48.40237214285714,5.278942367142857e-06,6.072692434285714e-05,5.363620114285715e-07,214.8205357142857,41.76098614285714,6.461614964285714,-0.0236519888571428,-5.315126304285715e-05
1.53512285e-05,0.3156267285714285,131418.83000000002,13400.991162857144,1.857955157142857e-07,1.6224077800000002e-06,52.04959942857143,1.2683626228571429e-05,6.347163324285715e-05,2.4454322185714284e-06,214.94076142857145,42.02780357142857,6.533484371428571,-0.0729846024285714,-5.5471428571428574e-05
1.890841857142857e-05,0.3426394142857143,131451.77642857144,13404.350764285717,1.802108122857143e-07,1.4378687185714286e-06,55.64290771428572,1.5551501371428573e-05,6.848905085714285e-05,2.886520942857143e-06,215.0551671428572,42.090140142857145,6.478307394285714,-0.083691325,-6.531571428571428e-05
2.3675647285714285e-05,0.4058086101428571,131504.75,13409.752565714283,1.73982965e-07,1.372354651e-06,56.64208414285714,1.7152266265285714e-05,6.95594891e-05,3.5506735714285712e-06,215.04324,41.87785371428571,6.455328357142856,-0.077106041,-7.130942857142857e-05
3.077709865714285e-05,0.4008947678571428,131522.35785714287,13411.548067142856,1.6936684071428574e-07,1.350388274e-06,56.42598742857143,3.002091859142857e-05,7.219477367142858e-05,7.014737781571428e-06,215.02749857142857,41.66231842857143,7.4286644428571424,-0.1639166475714285,-7.679557142857143e-05
2.132749471428571e-05,0.4080410748571428,131538.04499999998,13413.147712857142,1.7477736071428574e-07,1.1903175747142856e-06,55.50051657142857,3.445568603428572e-05,7.411634865714285e-05,8.828973880142858e-06,215.1441642857143,41.10111328571429,8.457955271428572,-0.1391932517142857,-7.962371428571428e-05
1.4717390285714284e-05,0.1988907614285714,131503.42857142858,13409.617817142858,1.8564064857142858e-07,1.2557370412857145e-06,49.414227857142855,1.6608009857142857e-05,6.82567372e-05,3.817300171428571e-06,215.19769142857143,40.86324671428572,8.501277185714285,-0.0774248384285714,-5.174293621428571e-05
1.8085624228571427e-06,0.0272324599999999,131502.30214285714,13409.502952857143,1.9137408e-07,1.4819008285714283e-06,32.520242,1.6484669285714286e-06,3.889382217142857e-05,3.678450485714287e-07,215.35678142857145,41.494197,7.251499585714285,-0.0682025548571428,-2.509502531428571e-05
6.481774042857142e-06,0.006471815,131498.96357142858,13409.162514285714,1.947951928571429e-07,1.78943e-06,23.771482285714285,3.337742514285714e-07,2.1763917428571427e-05,6.812137199999999e-08,215.59775714285712,41.367479714285714,5.877516228571429,-0.0807815577142857,-1.789308477142857e-05
-4.327809428571429e-06,0.008035523,131458.4457142857,13405.03084142857,1.9739530714285722e-07,1.8158097171428568e-06,23.411475,1.0898461000000001e-07,1.959236094285714e-05,1.532107157142857e-08,215.72481,41.05078328571428,4.545269871428571,-0.053407815,-3.840428571428571e-05
-3.1915982775714284e-06,0.0118298125714285,131438.45428571428,13402.992284285714,1.951147985714286e-07,1.8544386e-06,24.665926285714285,2.792844871428571e-07,2.1895297385714283e-05,4.342550771428571e-08,215.74310428571428,41.285888285714286,4.036389428571428,-0.0752242348571428,-2.1938577142857145e-05
-3.305196285714286e-06,0.0,131413.59857142856,13400.457708571428,1.967701857142857e-07,1.8098414071428567e-06,17.43487042857143,0.0,1.2156388214285715e-05,0.0,215.8072771428572,41.46643042857143,1.5337156285714286,-0.0540000205714285,-1.7992859757142856e-05
-7.197593642857143e-06,0.0,131394.5635714286,13398.516674285716,1.982030957142857e-07,1.7915347142857142e-06,16.855428928571428,0.0,1.1480974e-05,0.0,215.93169857142857,41.74411271428572,0.1358868914285714,-0.0292643378571428,-3.478571428571429e-05
-1.0679178571428572e-06,0.0,131374.81214285715,13396.502594285716,1.984015357142857e-07,1.5109537571428573e-06,20.57130657142857,0.0,1.913666657142857e-05,0.0,215.90867857142857,42.874333285714286,0.1981810714285714,-0.0467596002857142,-5.591428571428571e-05
7.469222299999999e-06,0.0,131360.3742857143,13395.030341428572,2.0058768142857146e-07,1.4568792171428573e-06,19.939976857142856,0.0,1.9357399585714283e-05,0.0,215.88182285714285,43.53879442857143,0.4483954457142857,-0.0276511561428571,-4.192857142857144e-05
-3.6442139e-06,0.0,131432.8742857143,13402.423282857144,2.0259404714285722e-07,1.0438727457142855e-06,17.56020142857143,0.0,1.4226139185714284e-05,0.0,215.77631714285715,42.920113571428566,-2.2500864985714286,0.0070125407142857,-5.1371428571428576e-05
-3.8561463285714285e-06,0.0,131464.19785714286,13405.617398571429,2.057064585714286e-07,9.176678428571428e-07,19.653967,0.0,1.780113004285714e-05,0.0,215.78117142857144,43.70376171428571,-3.3114211285714283,0.0770534485714285,-5.860271428571428e-05
-1.796707857142857e-05,0.0,131486.80357142858,13407.922537142857,2.0455105142857145e-07,8.643616457142857e-07,23.369516,0.0,2.6251483642857147e-05,0.0,215.89233428571427,45.13403328571429,-4.171627104285714,0.0935370411428571,-7.180657142857144e-05
-5.155310785714285e-06,0.1301514648571428,131484.5992857143,13407.697764285716,2.012280257142857e-07,1.2783966442857144e-06,49.84039914285714,7.494814428571429e-07,6.357247987142857e-05,0.0,215.8745842857143,46.52770985714285,-4.185949182857143,0.0440735118571428,-6.241242857142857e-05
2.649180214285713e-06,0.23056548,131526.54571428572,13411.975111428572,2.019246642857143e-07,1.0447198242857142e-06,52.75808685714286,2.4382800428571425e-06,6.977678775714286e-05,1.5660603142857149e-07,215.84727142857145,45.70727985714286,-3.1486062571428577,0.0304773691428571,-8.017942857142857e-05
1.568437142857143e-06,0.0845653842857142,131570.8407142857,13416.49194142857,1.9943792000000002e-07,9.968026191428572e-07,49.531091,7.013560157142857e-07,6.526480925714286e-05,3.5746734857142865e-08,215.8052757142857,45.597707,-1.7325931514285715,0.0025348014285714,-5.298571428571429e-05
9.82441447142857e-06,0.188163844,131544.4457142857,13413.80040142857,1.9028647914285722e-07,1.106860667142857e-06,51.617749,4.345788101428572e-06,7.171783235714285e-05,3.882380652857143e-07,215.6981485714286,45.98704971428572,-0.7985511114285716,-0.0454775042857142,-5.23e-05
1.3476466e-05,0.1948701041428571,131516.6242857143,13410.963405714285,1.7959975514285717e-07,1.0861347214285717e-06,54.94391757142857,1.0231624614285716e-05,7.460942128571428e-05,1.3419672214285714e-06,215.4276871428572,45.66535071428571,-0.5840249571428576,-0.0238794035714285,-6.361428571428572e-05
2.5362147571428573e-05,0.3636137814285715,131522.02642857144,13411.514271428572,1.7537425e-07,9.923054942857142e-07,57.98857099999999,1.6566543942857143e-05,7.770013771428571e-05,3.055139861142857e-06,215.3904157142857,45.25151742857143,0.6704648285714286,-0.0574190654285714,-8.037942857142857e-05
